customer_id,recency,frequency,monetary,customer_type,r_score,f_score,m_score,rfm_score,rfm_avg_score,segment
C00032,488,1,4994.18,VIP,5,1,5,515,3.6666666666666665,New Customers
C00033,111,2,125.68,Regular,3,1,1,311,1.6666666666666667,Others
C00034,9,7,2313.21,Regular,1,4,4,144,3.0,Loyal Customers
C00035,12,7,1722.04,Regular,1,4,3,143,2.6666666666666665,At Risk
C00036,22,6,3382.73,VIP,1,4,4,144,3.0,Loyal Customers
C00037,7,8,4851.150000000001,Regular,1,5,5,155,3.6666666666666665,Loyal Customers
C00038,278,3,4150.47,Regular,5,1,5,515,3.6666666666666665,New Customers
C00039,150,6,3833.5699999999997,Regular,4,4,5,445,4.333333333333333,Champions
C00040,1,3,2396.38,VIP,1,1,4,114,2.0,About to Sleep
C00041,37,12,5302.54,Regular,2,5,5,255,4.0,Loyal Customers
C00042,416,6,916.8299999999999,Regular,5,4,2,542,3.6666666666666665,Potential Loyalists
C00043,133,3,242.9,Regular,4,1,1,411,2.0,New Customers
C00044,34,4,1327.23,Regular,2,2,2,222,2.0,About to Sleep
C00045,336,2,719.75,Occasional,5,1,2,512,2.6666666666666665,New Customers
C00046,150,4,1176.48,VIP,4,2,2,422,2.6666666666666665,New Customers
C00047,15,4,811.29,Regular,1,2,2,122,1.6666666666666667,About to Sleep
C00048,283,1,576.36,Regular,5,1,1,511,2.3333333333333335,New Customers
C00049,51,6,6490.61,Occasional,2,4,5,245,3.6666666666666665,Loyal Customers
C00050,53,5,835.57,Regular,2,3,2,232,2.3333333333333335,Others
C00051,3,9,2915.36,Regular,1,5,4,154,3.3333333333333335,Loyal Customers
C00052,59,5,2054.17,Occasional,2,3,3,233,2.6666666666666665,At Risk
C00053,123,4,2169.74,Occasional,3,2,4,324,3.0,Promising
C00054,38,5,219.07,Occasional,2,3,1,231,2.0,Others
C00055,45,2,141.07999999999998,Regular,2,1,1,211,1.3333333333333333,About to Sleep
C00056,505,1,29.09,VIP,5,1,1,511,2.3333333333333335,New Customers
C00057,106,3,1941.32,Regular,3,1,3,313,2.3333333333333335,Others
C00058,435,2,146.13,Regular,5,1,1,511,2.3333333333333335,New Customers
C00059,51,9,5970.360000000001,VIP,2,5,5,255,4.0,Loyal Customers
C00060,141,5,2034.97,Occasional,4,3,3,433,3.3333333333333335,Potential Loyalists
C00061,29,5,3146.59,Regular,1,3,4,134,2.6666666666666665,At Risk
C00062,6,6,1182.06,Regular,1,4,2,142,2.3333333333333335,Others
C00063,226,4,489.73,Regular,5,2,1,521,2.6666666666666665,New Customers
C00064,79,5,1264.7499999999998,Regular,3,3,2,332,2.6666666666666665,Promising
C00065,21,6,1560.6799999999998,Regular,1,4,3,143,2.6666666666666665,At Risk
C00066,262,6,1188.46,Occasional,5,4,2,542,3.6666666666666665,Potential Loyalists
C00067,259,5,2812.81,Regular,5,3,4,534,4.0,Potential Loyalists
C00068,22,4,1103.9699999999998,Occasional,1,2,2,122,1.6666666666666667,About to Sleep
C00069,3,4,5345.110000000001,VIP,1,2,5,125,2.6666666666666665,About to Sleep
C00070,346,3,131.35,Regular,5,1,1,511,2.3333333333333335,New Customers
C00071,183,4,354.24,Occasional,4,2,1,421,2.3333333333333335,New Customers
C00072,163,7,3600.58,Regular,4,4,4,444,4.0,Champions
C00073,9,6,970.27,Regular,1,4,2,142,2.3333333333333335,Others
C00074,168,4,794.97,VIP,4,2,2,422,2.6666666666666665,New Customers
C00075,351,1,790.7,Occasional,5,1,2,512,2.6666666666666665,New Customers
C00076,276,1,5286.77,VIP,5,1,5,515,3.6666666666666665,New Customers
C00077,15,8,2606.78,Occasional,1,5,4,154,3.3333333333333335,Loyal Customers
C00078,154,4,406.99,Regular,4,2,1,421,2.3333333333333335,New Customers
C00079,256,4,932.99,Occasional,5,2,2,522,3.0,New Customers
C00080,112,7,3965.7599999999998,Regular,3,4,5,345,4.0,Loyal Customers
C00081,9,4,2061.44,Occasional,1,2,3,123,2.0,About to Sleep
C00082,8,8,7751.94,VIP,1,5,5,155,3.6666666666666665,Loyal Customers
C00083,81,5,532.13,Occasional,3,3,1,331,2.3333333333333335,Others
C00084,72,8,2169.7,Regular,2,5,4,254,3.6666666666666665,Loyal Customers
C00085,64,4,635.71,Occasional,2,2,1,221,1.6666666666666667,About to Sleep
C00086,144,8,2385.29,Regular,4,5,4,454,4.333333333333333,Champions
C00087,32,5,4469.8,Regular,2,3,5,235,3.3333333333333335,At Risk
C00088,102,3,777.56,Occasional,3,1,2,312,2.0,Others
C00089,11,5,936.76,Regular,1,3,2,132,2.0,Others
C00090,71,4,4764.1900000000005,Regular,2,2,5,225,3.0,About to Sleep
C00091,242,3,644.01,VIP,5,1,1,511,2.3333333333333335,New Customers
C00092,144,4,1081.78,Occasional,4,2,2,422,2.6666666666666665,New Customers
C00093,89,3,1708.4299999999998,Occasional,3,1,3,313,2.3333333333333335,Others
C00094,154,3,4243.15,VIP,4,1,5,415,3.3333333333333335,New Customers
C00095,23,6,2501.58,VIP,1,4,4,144,3.0,Loyal Customers
C00096,67,8,1478.83,Regular,2,5,3,253,3.3333333333333335,At Risk
C00097,3,4,1663.39,Regular,1,2,3,123,2.0,About to Sleep
C00098,131,4,715.02,Regular,4,2,2,422,2.6666666666666665,New Customers
C00099,29,3,259.32,Regular,1,1,1,111,1.0,About to Sleep
C00100,141,5,2064.06,Regular,4,3,3,433,3.3333333333333335,Potential Loyalists
C00101,17,6,3329.8,Regular,1,4,4,144,3.0,Loyal Customers
C00102,53,4,795.22,Occasional,2,2,2,222,2.0,About to Sleep
C00103,107,5,886.0600000000001,Regular,3,3,2,332,2.6666666666666665,Promising
C00104,68,4,811.02,Regular,2,2,2,222,2.0,About to Sleep
C00105,265,5,2719.1000000000004,Occasional,5,3,4,534,4.0,Potential Loyalists
C00106,118,6,2361.1400000000003,Regular,3,4,4,344,3.6666666666666665,Loyal Customers
C00107,99,8,1336.88,Regular,3,5,2,352,3.3333333333333335,Promising
C00108,100,2,326.14,Regular,3,1,1,311,1.6666666666666667,Others
C00109,31,2,713.84,Regular,1,1,2,112,1.3333333333333333,About to Sleep
C00110,149,10,2381.44,Occasional,4,5,4,454,4.333333333333333,Champions
C00111,23,5,2755.18,VIP,1,3,4,134,2.6666666666666665,At Risk
C00112,76,6,2781.73,VIP,3,4,4,344,3.6666666666666665,Loyal Customers
C00113,135,8,4636.9,Regular,4,5,5,455,4.666666666666667,Champions
C00114,8,9,1179.49,Regular,1,5,2,152,2.6666666666666665,Others
C00115,182,6,997.88,VIP,4,4,2,442,3.3333333333333335,Potential Loyalists
C00116,126,6,1903.16,Regular,3,4,3,343,3.3333333333333335,Promising
C00117,150,3,274.32,Occasional,4,1,1,411,2.0,New Customers
C00118,121,6,784.9300000000001,Regular,3,4,2,342,3.0,Promising
C00119,41,2,5229.0199999999995,Regular,2,1,5,215,2.6666666666666665,About to Sleep
C00120,58,3,1985.96,Regular,2,1,3,213,2.0,About to Sleep
C00121,11,7,1881.3600000000001,Occasional,1,4,3,143,2.6666666666666665,At Risk
C00122,223,7,5790.530000000001,VIP,4,4,5,445,4.333333333333333,Champions
C00123,121,4,1875.94,Regular,3,2,3,323,2.6666666666666665,Promising
C00124,16,5,1611.6499999999999,Occasional,1,3,3,133,2.3333333333333335,At Risk
C00125,416,4,1045.96,Regular,5,2,2,522,3.0,New Customers
C00126,82,5,552.18,Regular,3,3,1,331,2.3333333333333335,Others
C00127,62,2,464.53,Regular,2,1,1,211,1.3333333333333333,About to Sleep
C00128,45,3,928.09,Regular,2,1,2,212,1.6666666666666667,About to Sleep
C00129,6,10,2863.75,VIP,1,5,4,154,3.3333333333333335,Loyal Customers
C00130,182,5,1221.17,Regular,4,3,2,432,3.0,Potential Loyalists
C00131,69,6,974.9200000000001,Occasional,2,4,2,242,2.6666666666666665,Others
C00132,125,4,1160.78,Regular,3,2,2,322,2.3333333333333335,Promising
C00133,8,8,1310.67,Regular,1,5,2,152,2.6666666666666665,Others
C00134,570,3,542.27,Regular,5,1,1,511,2.3333333333333335,New Customers
C00135,111,4,1279.1200000000001,Regular,3,2,2,322,2.3333333333333335,Promising
C00136,55,9,2210.44,Regular,2,5,4,254,3.6666666666666665,Loyal Customers
C00137,103,1,462.81,Regular,3,1,1,311,1.6666666666666667,Others
C00138,200,3,295.95000000000005,Regular,4,1,1,411,2.0,New Customers
C00139,374,7,1610.1499999999999,Regular,5,4,3,543,4.0,Potential Loyalists
C00140,143,5,2242.54,Regular,4,3,4,434,3.6666666666666665,Potential Loyalists
C00141,353,5,5769.9,Regular,5,3,5,535,4.333333333333333,Potential Loyalists
C00142,2,4,3873.77,VIP,1,2,5,125,2.6666666666666665,About to Sleep
C00143,220,3,371.15,VIP,4,1,1,411,2.0,New Customers
C00144,75,6,5847.6900000000005,Regular,3,4,5,345,4.0,Loyal Customers
C00145,144,4,1358.69,Regular,4,2,3,423,3.0,New Customers
C00146,201,2,165.07999999999998,Regular,4,1,1,411,2.0,New Customers
C00147,512,2,600.99,VIP,5,1,1,511,2.3333333333333335,New Customers
C00148,60,7,1695.15,Occasional,2,4,3,243,3.0,At Risk
C00149,56,5,4603.13,VIP,2,3,5,235,3.3333333333333335,At Risk
C00150,297,4,1190.94,Regular,5,2,2,522,3.0,New Customers
C00151,154,6,244.43,Regular,4,4,1,441,3.0,Potential Loyalists
C00152,87,3,444.08000000000004,Regular,3,1,1,311,1.6666666666666667,Others
C00153,48,5,2588.71,Regular,2,3,4,234,3.0,At Risk
C00154,86,8,2423.5699999999997,Occasional,3,5,4,354,4.0,Loyal Customers
C00155,53,5,2513.2799999999997,Regular,2,3,4,234,3.0,At Risk
C00156,39,11,7311.990000000001,Occasional,2,5,5,255,4.0,Loyal Customers
C00157,214,3,2687.17,VIP,4,1,4,414,3.0,New Customers
C00158,626,1,72.24,Regular,5,1,1,511,2.3333333333333335,New Customers
C00159,171,3,712.73,Occasional,4,1,2,412,2.3333333333333335,New Customers
C00160,466,4,2777.99,Regular,5,2,4,524,3.6666666666666665,New Customers
C00161,77,7,4042.5399999999995,VIP,3,4,5,345,4.0,Loyal Customers
C00162,351,4,1431.06,VIP,5,2,3,523,3.3333333333333335,New Customers
C00163,480,4,1589.8200000000002,Occasional,5,2,3,523,3.3333333333333335,New Customers
C00164,76,6,1872.49,VIP,3,4,3,343,3.3333333333333335,Promising
C00165,294,5,1573.98,Regular,5,3,3,533,3.6666666666666665,Potential Loyalists
C00166,383,4,321.48,Regular,5,2,1,521,2.6666666666666665,New Customers
C00167,177,5,1534.46,Regular,4,3,3,433,3.3333333333333335,Potential Loyalists
C00168,49,3,1883.47,Regular,2,1,3,213,2.0,About to Sleep
C00169,122,5,2607.42,Regular,3,3,4,334,3.3333333333333335,Promising
C00170,59,5,2325.07,Regular,2,3,4,234,3.0,At Risk
C00171,116,4,487.59,Occasional,3,2,1,321,2.0,Others
C00172,168,5,435.67,VIP,4,3,1,431,2.6666666666666665,Potential Loyalists
C00173,76,6,3942.38,Regular,3,4,5,345,4.0,Loyal Customers
C00174,46,8,3694.54,Regular,2,5,5,255,4.0,Loyal Customers
C00175,150,8,3653.77,Regular,4,5,5,455,4.666666666666667,Champions
C00176,332,4,1323.3500000000001,VIP,5,2,2,522,3.0,New Customers
C00177,110,5,1801.43,Regular,3,3,3,333,3.0,Promising
C00178,132,6,3080.45,Regular,4,4,4,444,4.0,Champions
C00179,149,4,1520.31,Regular,4,2,3,423,3.0,New Customers
C00180,142,2,68.97999999999999,Regular,4,1,1,411,2.0,New Customers
C00181,35,8,2871.3,VIP,2,5,4,254,3.6666666666666665,Loyal Customers
C00182,54,5,586.47,Regular,2,3,1,231,2.0,Others
C00183,121,4,2627.2799999999997,Regular,3,2,4,324,3.0,Promising
C00184,330,3,415.71000000000004,Regular,5,1,1,511,2.3333333333333335,New Customers
C00185,27,7,4234.55,VIP,1,4,5,145,3.3333333333333335,Loyal Customers
C00186,71,9,3529.91,Regular,2,5,4,254,3.6666666666666665,Loyal Customers
C00187,15,6,1242.04,Regular,1,4,2,142,2.3333333333333335,Others
C00188,60,7,3270.41,Regular,2,4,4,244,3.3333333333333335,Loyal Customers
C00189,68,9,3153.0,Regular,2,5,4,254,3.6666666666666665,Loyal Customers
C00190,128,5,2323.83,Regular,3,3,4,334,3.3333333333333335,Promising
C00191,160,1,74.78,Regular,4,1,1,411,2.0,New Customers
C00192,37,6,1481.45,Regular,2,4,3,243,3.0,At Risk
C00193,136,5,9096.66,VIP,4,3,5,435,4.0,Potential Loyalists
C00194,235,2,1757.83,VIP,5,1,3,513,3.0,New Customers
C00195,48,9,3962.16,Regular,2,5,5,255,4.0,Loyal Customers
C00196,133,5,1490.33,Regular,4,3,3,433,3.3333333333333335,Potential Loyalists
C00197,180,5,380.46000000000004,Regular,4,3,1,431,2.6666666666666665,Potential Loyalists
C00198,386,4,2481.63,Regular,5,2,4,524,3.6666666666666665,New Customers
C00199,53,7,7065.300000000001,Regular,2,4,5,245,3.6666666666666665,Loyal Customers
C00200,203,3,1772.82,Regular,4,1,3,413,2.6666666666666665,New Customers
C00201,33,3,1513.53,Occasional,2,1,3,213,2.0,About to Sleep
C00202,67,8,6807.31,Regular,2,5,5,255,4.0,Loyal Customers
C00203,131,5,1346.79,Regular,4,3,2,432,3.0,Potential Loyalists
C00204,139,6,1008.71,Occasional,4,4,2,442,3.3333333333333335,Potential Loyalists
C00205,110,5,1672.58,Regular,3,3,3,333,3.0,Promising
C00206,78,4,710.1,Regular,3,2,1,321,2.0,Others
C00207,113,5,955.1800000000001,Occasional,3,3,2,332,2.6666666666666665,Promising
C00208,113,2,118.4,Regular,3,1,1,311,1.6666666666666667,Others
C00209,299,3,637.9300000000001,Occasional,5,1,1,511,2.3333333333333335,New Customers
C00210,122,2,176.34,Regular,3,1,1,311,1.6666666666666667,Others
C00211,87,5,2853.58,VIP,3,3,4,334,3.3333333333333335,Promising
C00212,66,4,787.66,Regular,2,2,2,222,2.0,About to Sleep
C00213,156,7,5100.86,Regular,4,4,5,445,4.333333333333333,Champions
C00214,13,10,4641.8,Regular,1,5,5,155,3.6666666666666665,Loyal Customers
C00215,16,7,1914.4299999999998,Regular,1,4,3,143,2.6666666666666665,At Risk
C00216,72,2,516.4599999999999,VIP,2,1,1,211,1.3333333333333333,About to Sleep
C00217,10,10,1452.33,Regular,1,5,3,153,3.0,At Risk
C00218,198,4,1383.0800000000002,Regular,4,2,3,423,3.0,New Customers
C00219,62,6,1469.37,VIP,2,4,3,243,3.0,At Risk
C00220,69,3,1183.8000000000002,Regular,2,1,2,212,1.6666666666666667,About to Sleep
C00221,140,5,1680.21,Regular,4,3,3,433,3.3333333333333335,Potential Loyalists
C00222,170,5,3439.75,Regular,4,3,4,434,3.6666666666666665,Potential Loyalists
C00223,2,6,4147.46,VIP,1,4,5,145,3.3333333333333335,Loyal Customers
C00224,63,11,22391.75,Occasional,2,5,5,255,4.0,Loyal Customers
C00225,47,5,2837.3900000000003,Regular,2,3,4,234,3.0,At Risk
C00226,268,4,456.8,Occasional,5,2,1,521,2.6666666666666665,New Customers
C00227,206,6,2011.6200000000001,Occasional,4,4,3,443,3.6666666666666665,Potential Loyalists
C00228,16,8,2100.4,Regular,1,5,3,153,3.0,At Risk
C00229,76,3,829.94,VIP,3,1,2,312,2.0,Others
C00230,55,5,1344.29,Regular,2,3,2,232,2.3333333333333335,Others
C00231,26,6,1180.7,Regular,1,4,2,142,2.3333333333333335,Others
C00232,110,7,2831.6400000000003,Regular,3,4,4,344,3.6666666666666665,Loyal Customers
C00233,120,3,294.13,Regular,3,1,1,311,1.6666666666666667,Others
C00234,380,2,287.17,Regular,5,1,1,511,2.3333333333333335,New Customers
C00235,123,3,556.98,Regular,3,1,1,311,1.6666666666666667,Others
C00236,65,8,1357.6100000000001,VIP,2,5,3,253,3.3333333333333335,At Risk
C00237,30,5,2064.09,VIP,1,3,3,133,2.3333333333333335,At Risk
C00238,130,5,622.19,Regular,4,3,1,431,2.6666666666666665,Potential Loyalists
C00239,5,6,2265.45,Regular,1,4,4,144,3.0,Loyal Customers
C00240,304,8,2979.99,Occasional,5,5,4,554,4.666666666666667,Champions
C00241,29,6,3456.11,VIP,1,4,4,144,3.0,Loyal Customers
C00242,115,8,4549.09,Occasional,3,5,5,355,4.333333333333333,Loyal Customers
C00243,11,8,4660.99,Regular,1,5,5,155,3.6666666666666665,Loyal Customers
C00244,94,7,1445.67,Regular,3,4,3,343,3.3333333333333335,Promising
C00245,92,4,3330.4500000000003,Regular,3,2,4,324,3.0,Promising
C00246,159,4,3722.1200000000003,Occasional,4,2,5,425,3.6666666666666665,New Customers
C00247,32,7,2360.73,Regular,2,4,4,244,3.3333333333333335,Loyal Customers
C00248,64,6,4839.21,Regular,2,4,5,245,3.6666666666666665,Loyal Customers
C00249,23,5,853.05,VIP,1,3,2,132,2.0,Others
C00250,24,7,8569.2,Regular,1,4,5,145,3.3333333333333335,Loyal Customers
C00251,45,10,3392.5699999999997,Regular,2,5,4,254,3.6666666666666665,Loyal Customers
C00252,429,1,267.47,Regular,5,1,1,511,2.3333333333333335,New Customers
C00253,12,6,1129.31,Regular,1,4,2,142,2.3333333333333335,Others
C00254,53,9,4608.37,Regular,2,5,5,255,4.0,Loyal Customers
C00255,22,4,1419.3799999999999,Occasional,1,2,3,123,2.0,About to Sleep
C00256,192,7,7577.93,Occasional,4,4,5,445,4.333333333333333,Champions
C00257,77,6,1059.3,Regular,3,4,2,342,3.0,Promising
C00258,11,5,2452.52,Occasional,1,3,4,134,2.6666666666666665,At Risk
C00259,214,5,1084.93,Regular,4,3,2,432,3.0,Potential Loyalists
C00260,87,10,3685.4700000000003,Regular,3,5,5,355,4.333333333333333,Loyal Customers
C00261,113,4,621.95,Regular,3,2,1,321,2.0,Others
C00262,48,7,3375.55,Regular,2,4,4,244,3.3333333333333335,Loyal Customers
C00263,168,2,233.01,Regular,4,1,1,411,2.0,New Customers
C00265,207,8,1447.72,Regular,4,5,3,453,4.0,Potential Loyalists
C00266,84,4,2732.03,Occasional,3,2,4,324,3.0,Promising
C00267,118,7,2921.33,VIP,3,4,4,344,3.6666666666666665,Loyal Customers
C00268,64,4,5648.7,VIP,2,2,5,225,3.0,About to Sleep
C00269,86,8,3263.44,Regular,3,5,4,354,4.0,Loyal Customers
C00270,25,9,9512.37,Regular,1,5,5,155,3.6666666666666665,Loyal Customers
C00271,31,8,5752.68,Regular,1,5,5,155,3.6666666666666665,Loyal Customers
C00272,71,4,767.41,Regular,2,2,2,222,2.0,About to Sleep
C00273,11,9,2987.69,Regular,1,5,4,154,3.3333333333333335,Loyal Customers
C00274,51,7,2431.82,Regular,2,4,4,244,3.3333333333333335,Loyal Customers
C00275,36,10,1055.74,Regular,2,5,2,252,3.0,Others
C00276,52,7,919.84,Occasional,2,4,2,242,2.6666666666666665,Others
C00277,21,10,3162.0,Regular,1,5,4,154,3.3333333333333335,Loyal Customers
C00278,199,6,3680.31,VIP,4,4,5,445,4.333333333333333,Champions
C00279,48,5,2495.0200000000004,Regular,2,3,4,234,3.0,At Risk
C00280,36,4,1749.45,Regular,2,2,3,223,2.3333333333333335,About to Sleep
C00281,103,4,880.75,Regular,3,2,2,322,2.3333333333333335,Promising
C00282,63,3,412.5,Regular,2,1,1,211,1.3333333333333333,About to Sleep
C00283,202,6,5059.67,VIP,4,4,5,445,4.333333333333333,Champions
C00284,20,5,1711.88,Regular,1,3,3,133,2.3333333333333335,At Risk
C00285,135,6,1872.0300000000002,Regular,4,4,3,443,3.6666666666666665,Potential Loyalists
C00286,190,4,2712.79,VIP,4,2,4,424,3.3333333333333335,New Customers
C00287,53,7,1958.6599999999999,Regular,2,4,3,243,3.0,At Risk
C00288,74,5,2388.41,Occasional,3,3,4,334,3.3333333333333335,Promising
C00289,85,8,7655.7699999999995,VIP,3,5,5,355,4.333333333333333,Loyal Customers
C00290,74,5,5436.35,Regular,3,3,5,335,3.6666666666666665,Promising
C00291,54,7,2540.77,Regular,2,4,4,244,3.3333333333333335,Loyal Customers
C00292,519,3,860.2900000000001,Regular,5,1,2,512,2.6666666666666665,New Customers
C00293,246,2,2217.1000000000004,Occasional,5,1,4,514,3.3333333333333335,New Customers
C00294,181,6,3345.26,Occasional,4,4,4,444,4.0,Champions
C00295,231,3,1041.71,Occasional,5,1,2,512,2.6666666666666665,New Customers
C00296,6,7,2667.25,Regular,1,4,4,144,3.0,Loyal Customers
C00297,276,2,648.3199999999999,Regular,5,1,1,511,2.3333333333333335,New Customers
C00298,32,4,364.1,Regular,2,2,1,221,1.6666666666666667,About to Sleep
C00299,39,6,4109.97,Regular,2,4,5,245,3.6666666666666665,Loyal Customers
C00300,26,10,1948.75,Regular,1,5,3,153,3.0,At Risk
C00301,350,4,1033.41,Occasional,5,2,2,522,3.0,New Customers
C00302,158,3,1152.09,Regular,4,1,2,412,2.3333333333333335,New Customers
C00303,108,6,3365.57,Occasional,3,4,4,344,3.6666666666666665,Loyal Customers
C00304,471,3,1748.7199999999998,Regular,5,1,3,513,3.0,New Customers
C00305,317,3,200.74,VIP,5,1,1,511,2.3333333333333335,New Customers
C00306,79,2,421.74,VIP,3,1,1,311,1.6666666666666667,Others
C00307,155,5,2119.29,Regular,4,3,3,433,3.3333333333333335,Potential Loyalists
C00308,101,4,887.22,Regular,3,2,2,322,2.3333333333333335,Promising
C00309,189,5,1514.41,Occasional,4,3,3,433,3.3333333333333335,Potential Loyalists
C00310,25,4,1984.88,Regular,1,2,3,123,2.0,About to Sleep
C00312,85,7,5370.72,Regular,3,4,5,345,4.0,Loyal Customers
C00313,4,7,1761.1,Occasional,1,4,3,143,2.6666666666666665,At Risk
C00314,397,5,1747.79,Regular,5,3,3,533,3.6666666666666665,Potential Loyalists
C00315,116,5,2419.75,Regular,3,3,4,334,3.3333333333333335,Promising
C00316,254,5,1457.02,Regular,5,3,3,533,3.6666666666666665,Potential Loyalists
C00317,141,10,2994.5,Regular,4,5,4,454,4.333333333333333,Champions
C00318,17,6,4352.34,VIP,1,4,5,145,3.3333333333333335,Loyal Customers
C00319,62,8,3729.35,Occasional,2,5,5,255,4.0,Loyal Customers
C00320,280,6,2459.66,Regular,5,4,4,544,4.333333333333333,Champions
C00321,88,5,2135.96,Regular,3,3,3,333,3.0,Promising
C00322,77,3,6617.259999999999,Regular,3,1,5,315,3.0,Others
C00323,451,3,125.83999999999999,Regular,5,1,1,511,2.3333333333333335,New Customers
C00324,33,9,7372.85,Regular,2,5,5,255,4.0,Loyal Customers
C00325,237,11,5847.469999999999,Regular,5,5,5,555,5.0,Champions
C00326,503,2,306.17,VIP,5,1,1,511,2.3333333333333335,New Customers
C00327,233,7,2606.42,Occasional,5,4,4,544,4.333333333333333,Champions
C00328,48,6,3039.88,Regular,2,4,4,244,3.3333333333333335,Loyal Customers
C00329,40,5,433.66999999999996,Regular,2,3,1,231,2.0,Others
C00330,272,3,694.19,Occasional,5,1,1,511,2.3333333333333335,New Customers
C00331,2,4,1121.2,Regular,1,2,2,122,1.6666666666666667,About to Sleep
C00332,135,4,1691.21,Occasional,4,2,3,423,3.0,New Customers
C00333,120,7,1275.37,Regular,3,4,2,342,3.0,Promising
C00334,76,7,9099.51,VIP,3,4,5,345,4.0,Loyal Customers
C00335,149,4,452.21000000000004,Regular,4,2,1,421,2.3333333333333335,New Customers
C00336,124,7,7308.12,Regular,3,4,5,345,4.0,Loyal Customers
C00337,56,5,1412.73,VIP,2,3,3,233,2.6666666666666665,At Risk
C00338,125,4,2137.11,Occasional,3,2,3,323,2.6666666666666665,Promising
C00339,44,3,436.99,Regular,2,1,1,211,1.3333333333333333,About to Sleep
C00340,109,7,2961.0899999999997,Occasional,3,4,4,344,3.6666666666666665,Loyal Customers
C00341,348,2,153.15,Regular,5,1,1,511,2.3333333333333335,New Customers
C00342,249,2,643.33,Occasional,5,1,1,511,2.3333333333333335,New Customers
C00343,254,4,1827.8300000000002,Occasional,5,2,3,523,3.3333333333333335,New Customers
C00344,266,1,130.86,Regular,5,1,1,511,2.3333333333333335,New Customers
C00345,340,5,2242.44,Occasional,5,3,4,534,4.0,Potential Loyalists
C00346,555,2,515.0699999999999,VIP,5,1,1,511,2.3333333333333335,New Customers
C00347,55,2,399.24,Regular,2,1,1,211,1.3333333333333333,About to Sleep
C00348,133,10,1580.8600000000001,Regular,4,5,3,453,4.0,Potential Loyalists
C00349,71,5,1371.72,Occasional,2,3,3,233,2.6666666666666665,At Risk
C00350,177,4,785.78,Regular,4,2,2,422,2.6666666666666665,New Customers
C00351,68,3,1646.58,Regular,2,1,3,213,2.0,About to Sleep
C00352,186,2,534.66,Occasional,4,1,1,411,2.0,New Customers
C00353,66,8,2086.09,Regular,2,5,3,253,3.3333333333333335,At Risk
C00354,90,5,2194.19,Occasional,3,3,4,334,3.3333333333333335,Promising
C00355,142,7,1473.3799999999999,Regular,4,4,3,443,3.6666666666666665,Potential Loyalists
C00356,60,8,9330.88,VIP,2,5,5,255,4.0,Loyal Customers
C00357,18,5,3553.3,Regular,1,3,4,134,2.6666666666666665,At Risk
C00358,6,3,787.26,Occasional,1,1,2,112,1.3333333333333333,About to Sleep
C00359,4,4,3607.85,Regular,1,2,5,125,2.6666666666666665,About to Sleep
