transaction_id,customer_id,customer_type,date,category,product_price,quantity,total_amount,payment_method,device,region,rating,year_month,day_of_week
T000086,C00723,Regular,2023-11-14,Beauty,19.41,1,19.41,PayPal,Mobile,Europe,2,2023-11,Tuesday
T000087,C00988,Regular,2023-04-23,Clothing,163.91,1,163.91,PayPal,Mobile,Asia,3,2023-04,Sunday
T000088,C00162,VIP,2024-01-15,Electronics,490.03,2,980.07,Credit Card,Mobile,Europe,4,2024-01,Monday
T000089,C00328,Regular,2023-02-23,Electronics,262.21,1,262.21,Credit Card,Desktop,Asia,4,2023-02,Thursday
T000090,C00491,Regular,2024-03-27,Books,14.93,2,29.86,Credit Card,Mobile,North America,2,2024-03,Wednesday
T000091,C01405,Regular,2024-07-01,Sports,667.3,1,667.3,Credit Card,Mobile,North America,4,2024-07,Monday
T000092,C00261,Regular,2023-09-13,Beauty,92.97,3,278.91,Credit Card,Mobile,Others,5,2023-09,Wednesday
T000093,C01751,Regular,2023-05-08,Electronics,869.73,2,1739.47,Credit Card,Desktop,Europe,5,2023-05,Monday
T000094,C00666,Regular,2024-03-17,Sports,146.6,3,439.79,Debit Card,Mobile,Europe,3,2024-03,Sunday
T000095,C01177,Regular,2024-01-13,Books,3.83,3,11.5,Debit Card,Desktop,Europe,5,2024-01,Saturday
T000096,C00455,Regular,2024-11-15,Electronics,854.19,1,854.19,PayPal,Mobile,Europe,4,2024-11,Friday
T000097,C00794,Occasional,2023-01-29,Sports,193.39,1,193.39,Bank Transfer,Mobile,Others,5,2023-01,Sunday
T000098,C00406,Regular,2023-03-10,Electronics,720.19,2,1440.37,Bank Transfer,Mobile,Europe,5,2023-03,Friday
T000099,C01474,VIP,2024-05-15,Electronics,2206.76,2,4413.52,Credit Card,Desktop,Asia,5,2024-05,Wednesday
T000100,C00172,VIP,2024-03-10,Beauty,38.72,3,116.17,PayPal,Desktop,Europe,5,2024-03,Sunday
T000101,C00012,Regular,2023-11-14,Home & Garden,486.12,2,972.24,Credit Card,Mobile,North America,5,2023-11,Tuesday
T000102,C01946,Regular,2024-05-03,Sports,52.17,3,156.52,Debit Card,Mobile,North America,4,2024-05,Friday
T000103,C01543,Occasional,2023-05-17,Home & Garden,343.6,1,343.6,PayPal,Mobile,Asia,5,2023-05,Wednesday
T000104,C01297,Regular,2024-06-09,Home & Garden,257.44,1,257.44,Credit Card,Mobile,Asia,5,2024-06,Sunday
T000105,C01540,Regular,2023-12-15,Beauty,127.43,2,254.86,Credit Card,Desktop,North America,4,2023-12,Friday
T000106,C00759,Occasional,2023-05-21,Clothing,182.32,1,182.32,Credit Card,Mobile,Europe,5,2023-05,Sunday
T000107,C01464,Regular,2023-08-27,Electronics,698.65,2,1397.29,Credit Card,Mobile,North America,4,2023-08,Sunday
T000108,C00324,Regular,2023-05-26,Beauty,47.15,1,47.15,Credit Card,Mobile,Others,3,2023-05,Friday
T000109,C01829,VIP,2023-03-02,Sports,630.73,4,2522.9,Debit Card,Mobile,Others,5,2023-03,Thursday
T000110,C01595,Occasional,2024-08-06,Books,16.52,1,16.52,Credit Card,Mobile,Others,2,2024-08,Tuesday
T000111,C01912,Regular,2024-05-31,Sports,150.48,1,150.48,Credit Card,Mobile,Europe,4,2024-05,Friday
T000112,C01169,Occasional,2023-08-04,Home & Garden,77.27,1,77.27,Debit Card,Mobile,Asia,4,2023-08,Friday
T000113,C01347,Regular,2024-09-26,Books,8.49,1,8.49,Bank Transfer,Desktop,North America,3,2024-09,Thursday
T000114,C01148,Regular,2023-02-07,Home & Garden,138.8,1,138.8,Credit Card,Desktop,Europe,5,2023-02,Tuesday
T000115,C00224,Occasional,2023-11-14,Sports,395.25,1,395.25,PayPal,Mobile,Asia,5,2023-11,Tuesday
T000116,C00092,Occasional,2023-12-19,Home & Garden,344.57,1,344.57,Debit Card,Desktop,North America,5,2023-12,Tuesday
T000117,C01771,Regular,2024-07-10,Clothing,195.49,2,390.99,Bank Transfer,Mobile,Europe,4,2024-07,Wednesday
T000118,C00589,Regular,2024-06-07,Clothing,209.85,2,419.69,Debit Card,Mobile,Asia,4,2024-06,Friday
T000119,C01350,VIP,2024-04-11,Beauty,134.67,1,134.67,PayPal,Desktop,North America,3,2024-04,Thursday
T000120,C00484,Regular,2023-08-30,Books,39.98,1,39.98,Debit Card,Mobile,Asia,3,2023-08,Wednesday
T000121,C00704,Regular,2024-11-17,Sports,577.3,1,577.3,PayPal,Mobile,Asia,4,2024-11,Sunday
T000122,C00459,Regular,2024-07-23,Clothing,162.08,1,162.08,Debit Card,Desktop,North America,5,2024-07,Tuesday
T000123,C01824,Regular,2023-05-10,Beauty,28.05,3,84.14,PayPal,Desktop,Asia,2,2023-05,Wednesday
T000124,C00084,Regular,2024-10-20,Electronics,466.31,2,932.62,Credit Card,Desktop,Asia,5,2024-10,Sunday
T000125,C01810,Regular,2023-09-28,Books,50.92,2,101.85,PayPal,Desktop,Asia,5,2023-09,Thursday
T000126,C00387,VIP,2023-12-15,Books,164.9,3,494.69,Credit Card,Mobile,Europe,4,2023-12,Friday
T000127,C01764,Regular,2024-06-04,Beauty,32.31,1,32.31,Credit Card,Tablet,North America,4,2024-06,Tuesday
T000128,C01813,Regular,2023-10-01,Beauty,65.31,1,65.31,PayPal,Desktop,North America,5,2023-10,Sunday
T000129,C00214,Regular,2024-11-21,Electronics,1776.49,1,1776.49,PayPal,Mobile,North America,5,2024-11,Thursday
T000130,C01889,VIP,2023-01-02,Electronics,684.92,1,684.92,Credit Card,Mobile,Europe,5,2023-01,Monday
T000131,C00143,VIP,2023-04-16,Books,88.27,1,88.27,Credit Card,Mobile,Asia,5,2023-04,Sunday
T000132,C01288,Occasional,2024-11-20,Books,27.98,1,27.98,Debit Card,Desktop,Europe,5,2024-11,Wednesday
T000133,C00515,Regular,2023-05-07,Electronics,747.67,1,747.67,Debit Card,Desktop,North America,5,2023-05,Sunday
T000134,C00750,Regular,2023-12-22,Sports,713.29,1,713.29,PayPal,Mobile,Others,5,2023-12,Friday
T000135,C00873,VIP,2023-02-28,Home & Garden,238.46,2,476.91,PayPal,Mobile,Others,4,2023-02,Tuesday
T000136,C01978,Regular,2023-01-24,Books,40.25,1,40.25,Debit Card,Mobile,North America,4,2023-01,Tuesday
T000137,C00866,Occasional,2024-05-26,Books,39.62,1,39.62,Bank Transfer,Mobile,Europe,4,2024-05,Sunday
T000138,C01576,VIP,2023-01-21,Electronics,2096.72,1,2096.72,Bank Transfer,Mobile,Asia,4,2023-01,Saturday
T000139,C01005,VIP,2024-07-06,Beauty,125.59,2,251.18,Credit Card,Desktop,North America,5,2024-07,Saturday
T000140,C00028,Regular,2023-03-07,Home & Garden,159.28,1,159.28,Debit Card,Mobile,North America,5,2023-03,Tuesday
T000141,C00270,Regular,2024-08-14,Clothing,162.68,1,162.68,Bank Transfer,Mobile,North America,4,2024-08,Wednesday
T000142,C01308,Regular,2023-05-01,Home & Garden,269.48,2,538.97,Debit Card,Desktop,North America,5,2023-05,Monday
T000143,C00957,VIP,2023-11-30,Clothing,150.58,2,301.16,Credit Card,Mobile,North America,4,2023-11,Thursday
T000144,C00691,VIP,2023-07-25,Books,160.7,1,160.7,Debit Card,Desktop,Europe,5,2023-07,Tuesday
T000145,C00495,Regular,2024-03-02,Clothing,119.11,1,119.11,Bank Transfer,Desktop,North America,3,2024-03,Saturday
T000146,C01365,Regular,2023-05-09,Sports,456.49,2,912.98,Bank Transfer,Desktop,Europe,5,2023-05,Tuesday
T000147,C01169,VIP,2024-06-21,Electronics,3371.57,2,6743.14,Debit Card,Mobile,Europe,4,2024-06,Friday
T000148,C01626,Occasional,2023-08-08,Clothing,25.87,1,25.87,PayPal,Mobile,Asia,5,2023-08,Tuesday
T000149,C01348,Regular,2024-09-01,Sports,543.48,3,1630.44,Credit Card,Desktop,North America,5,2024-09,Sunday
T000150,C00822,Regular,2024-03-30,Electronics,1006.15,1,1006.15,Debit Card,Mobile,Europe,5,2024-03,Saturday
T000151,C00291,Regular,2023-04-12,Clothing,57.7,2,115.39,Debit Card,Tablet,Asia,4,2023-04,Wednesday
T000152,C01948,Regular,2024-09-20,Sports,233.75,1,233.75,Debit Card,Desktop,Asia,5,2024-09,Friday
T000153,C00498,Regular,2023-12-30,Home & Garden,452.64,2,905.28,Bank Transfer,Desktop,North America,4,2023-12,Saturday
T000154,C00324,Regular,2023-05-21,Beauty,29.62,1,29.62,Bank Transfer,Mobile,Europe,4,2023-05,Sunday
T000155,C00106,Regular,2024-02-24,Beauty,30.88,1,30.88,Debit Card,Mobile,Europe,3,2024-02,Saturday
T000156,C01607,Regular,2023-11-08,Electronics,700.23,1,700.23,Debit Card,Mobile,Europe,5,2023-11,Wednesday
T000157,C00891,Occasional,2023-05-21,Beauty,71.7,1,71.7,Credit Card,Desktop,Asia,5,2023-05,Sunday
T000158,C00720,Regular,2023-02-18,Clothing,75.17,2,150.34,PayPal,Desktop,North America,5,2023-02,Saturday
T000159,C01463,Regular,2023-08-30,Sports,565.2,1,565.2,Credit Card,Desktop,Europe,4,2023-08,Wednesday
T000160,C01184,Regular,2024-06-06,Clothing,148.11,1,148.11,Debit Card,Desktop,Europe,4,2024-06,Thursday
T000161,C00637,Regular,2023-06-16,Electronics,1392.87,1,1392.87,Debit Card,Mobile,North America,5,2023-06,Friday
T000162,C00744,Regular,2023-12-19,Books,28.41,1,28.41,Debit Card,Mobile,Asia,2,2023-12,Tuesday
T000163,C01563,Regular,2023-06-09,Sports,431.45,1,431.45,Credit Card,Mobile,North America,5,2023-06,Friday
T000164,C00614,Regular,2023-07-28,Home & Garden,178.37,1,178.37,Credit Card,Desktop,North America,5,2023-07,Friday
T000165,C00208,Regular,2024-09-09,Beauty,80.37,1,80.37,Debit Card,Mobile,North America,5,2024-09,Monday
T000166,C00627,Occasional,2023-04-14,Beauty,85.32,2,170.64,Debit Card,Mobile,Asia,4,2023-04,Friday
T000167,C01185,Regular,2024-04-04,Beauty,14.35,1,14.35,Credit Card,Mobile,North America,3,2024-04,Thursday
T000168,C00449,Regular,2023-06-29,Beauty,84.2,3,252.59,Bank Transfer,Desktop,North America,4,2023-06,Thursday
T000169,C01263,Regular,2024-07-14,Clothing,191.29,1,191.29,Credit Card,Mobile,Asia,5,2024-07,Sunday
T000170,C00399,Regular,2024-02-09,Home & Garden,213.27,3,639.82,PayPal,Mobile,Asia,5,2024-02,Friday
T000171,C00164,VIP,2023-04-05,Beauty,253.45,1,253.45,PayPal,Desktop,North America,5,2023-04,Wednesday
T000172,C00917,VIP,2024-06-20,Books,85.14,2,170.29,PayPal,Mobile,Asia,5,2024-06,Thursday
T000173,C00672,Regular,2023-02-12,Beauty,38.28,1,38.28,Credit Card,Mobile,Asia,3,2023-02,Sunday
T000174,C01951,Regular,2023-02-25,Electronics,197.48,2,394.96,Credit Card,Desktop,Europe,4,2023-02,Saturday
T000175,C01796,Regular,2024-09-06,Electronics,321.86,2,643.72,PayPal,Desktop,Europe,5,2024-09,Friday
T000176,C00768,Regular,2024-04-27,Home & Garden,365.72,2,731.44,Credit Card,Mobile,North America,4,2024-04,Saturday
T000177,C01615,Regular,2024-10-22,Clothing,62.41,1,62.41,Debit Card,Mobile,North America,5,2024-10,Tuesday
T000178,C00672,VIP,2023-06-13,Electronics,1815.61,3,5446.82,Debit Card,Mobile,North America,4,2023-06,Tuesday
T000179,C01788,Regular,2024-08-16,Home & Garden,183.86,2,367.72,Bank Transfer,Desktop,North America,5,2024-08,Friday
T000180,C00129,VIP,2023-05-10,Books,49.49,1,49.49,PayPal,Mobile,North America,4,2023-05,Wednesday
T000181,C00726,Regular,2023-07-19,Electronics,162.5,1,162.5,Debit Card,Desktop,North America,5,2023-07,Wednesday
T000182,C01529,Regular,2023-03-28,Home & Garden,273.54,1,273.54,Credit Card,Mobile,Others,5,2023-03,Tuesday
T000183,C00436,Regular,2024-02-03,Home & Garden,62.87,1,62.87,PayPal,Mobile,North America,5,2024-02,Saturday
T000184,C00992,Occasional,2024-01-03,Books,25.68,2,51.37,Credit Card,Mobile,North America,4,2024-01,Wednesday
T000185,C01641,Regular,2023-06-18,Electronics,144.76,2,289.52,Bank Transfer,Desktop,Europe,4,2023-06,Sunday
T000186,C00351,Regular,2023-10-15,Books,6.25,1,6.25,Credit Card,Mobile,North America,2,2023-10,Sunday
T000187,C01650,VIP,2024-02-18,Books,30.29,2,60.57,PayPal,Desktop,Asia,3,2024-02,Sunday
T000188,C01257,Regular,2024-06-13,Sports,362.4,2,724.8,Debit Card,Mobile,Europe,5,2024-06,Thursday
T000189,C00235,Regular,2023-12-11,Beauty,106.33,2,212.66,Bank Transfer,Mobile,North America,3,2023-12,Monday
T000190,C01068,Regular,2024-04-05,Beauty,75.19,1,75.19,Debit Card,Desktop,Europe,4,2024-04,Friday
T000191,C01152,Regular,2023-08-17,Clothing,248.22,2,496.44,Credit Card,Desktop,Europe,4,2023-08,Thursday
T000192,C00473,Regular,2023-01-10,Sports,265.5,1,265.5,Debit Card,Mobile,Asia,5,2023-01,Tuesday
T000193,C00566,VIP,2023-01-12,Electronics,2054.2,2,4108.41,PayPal,Mobile,Europe,5,2023-01,Thursday
T000194,C00698,Regular,2023-05-12,Sports,420.14,1,420.14,Credit Card,Mobile,North America,5,2023-05,Friday
T000195,C00942,Regular,2023-07-07,Electronics,801.01,1,801.01,Credit Card,Mobile,Asia,5,2023-07,Friday
T000196,C01912,Regular,2024-06-19,Clothing,139.3,1,139.3,Credit Card,Desktop,Asia,5,2024-06,Wednesday
T000197,C01338,Regular,2023-04-27,Books,25.09,1,25.09,Credit Card,Mobile,Europe,4,2023-04,Thursday
T000198,C00763,Regular,2023-10-30,Home & Garden,116.31,2,232.63,Credit Card,Desktop,Others,4,2023-10,Monday
T000199,C00124,Occasional,2023-03-16,Electronics,264.96,2,529.93,PayPal,Mobile,Europe,4,2023-03,Thursday
T000200,C00710,VIP,2024-07-16,Sports,978.12,1,978.12,Debit Card,Mobile,Asia,5,2024-07,Tuesday
T000201,C00356,VIP,2024-08-04,Clothing,408.62,2,817.24,PayPal,Mobile,Europe,5,2024-08,Sunday
T000202,C00188,Regular,2024-07-22,Books,52.45,1,52.45,Credit Card,Mobile,Asia,4,2024-07,Monday
T000203,C00632,Regular,2024-02-04,Beauty,74.7,1,74.7,Credit Card,Desktop,Europe,5,2024-02,Sunday
T000204,C01557,Regular,2023-07-15,Clothing,123.29,1,123.29,Bank Transfer,Mobile,Asia,5,2023-07,Saturday
T000205,C01450,Regular,2024-10-27,Books,39.26,3,117.77,PayPal,Mobile,North America,3,2024-10,Sunday
T000206,C00371,Regular,2024-01-19,Books,7.76,1,7.76,PayPal,Mobile,Europe,3,2024-01,Friday
T000207,C01597,Regular,2024-07-26,Clothing,175.04,1,175.04,Credit Card,Desktop,Europe,5,2024-07,Friday
T000208,C01541,Occasional,2024-05-28,Beauty,61.75,1,61.75,Debit Card,Mobile,Europe,5,2024-05,Tuesday
T000209,C01980,Occasional,2024-07-24,Clothing,166.13,1,166.13,Debit Card,Desktop,Asia,5,2024-07,Wednesday
T000210,C01679,Regular,2024-01-11,Sports,85.12,3,255.35,PayPal,Mobile,Europe,4,2024-01,Thursday
T000211,C01784,Occasional,2023-09-11,Home & Garden,168.38,1,168.38,PayPal,Mobile,Asia,5,2023-09,Monday
T000212,C00307,Regular,2024-05-18,Books,23.23,1,23.23,PayPal,Mobile,Asia,4,2024-05,Saturday
T000213,C01128,Regular,2023-07-29,Clothing,139.23,2,278.46,PayPal,Mobile,Europe,4,2023-07,Saturday
T000214,C00220,Regular,2023-05-09,Sports,459.59,2,919.19,PayPal,Mobile,Asia,5,2023-05,Tuesday
T000215,C01911,Regular,2023-01-16,Electronics,1260.93,2,2521.86,PayPal,Mobile,North America,4,2023-01,Monday
T000216,C01819,Regular,2024-06-20,Home & Garden,373.06,1,373.06,Credit Card,Desktop,Asia,5,2024-06,Thursday
T000217,C01458,Regular,2024-10-07,Home & Garden,458.94,2,917.89,Credit Card,Desktop,Asia,5,2024-10,Monday
T000218,C01822,Occasional,2023-10-04,Books,7.08,1,7.08,Debit Card,Desktop,Europe,3,2023-10,Wednesday
T000219,C01200,Occasional,2024-10-23,Electronics,655.43,1,655.43,Debit Card,Mobile,Europe,4,2024-10,Wednesday
T000220,C00156,Occasional,2023-02-16,Beauty,23.82,1,23.82,Debit Card,Mobile,North America,4,2023-02,Thursday
T000221,C01215,Regular,2024-06-16,Home & Garden,212.65,3,637.96,PayPal,Mobile,Asia,4,2024-06,Sunday
T000222,C01139,VIP,2024-10-07,Home & Garden,159.21,1,159.21,Credit Card,Mobile,Europe,4,2024-10,Monday
T000223,C01870,VIP,2024-05-21,Books,43.03,4,172.14,PayPal,Tablet,Asia,3,2024-05,Tuesday
T000224,C01299,VIP,2024-12-13,Books,180.66,1,180.66,Credit Card,Desktop,North America,5,2024-12,Friday
T000225,C00934,VIP,2024-03-12,Sports,272.75,2,545.49,PayPal,Mobile,North America,4,2024-03,Tuesday
T000226,C00334,VIP,2023-08-10,Electronics,3516.91,2,7033.82,PayPal,Mobile,North America,5,2023-08,Thursday
T000227,C00477,Regular,2023-03-03,Electronics,609.86,2,1219.73,Debit Card,Mobile,North America,5,2023-03,Friday
T000228,C01708,VIP,2023-07-20,Sports,902.6,4,3610.41,Debit Card,Mobile,Asia,4,2023-07,Thursday
